[D@09:08:13.442]: Load JSON as String costs PT2.314S.
[I@09:08:13.777]: Position=1048576, 334ms spend for 2 Megabyte, stack depth = 4, children length = 2
[I@09:08:13.963]: Position=2097154, 184ms spend for 3 Megabyte, stack depth = 4, children length = 5
[I@09:08:14.140]: Position=3145731, 176ms spend for 4 Megabyte, stack depth = 4, children length = 4
[I@09:08:14.284]: Position=4194321, 143ms spend for 5 Megabyte, stack depth = 7, children length = 0
[I@09:08:14.385]: Position=5242881, 101ms spend for 6 Megabyte, stack depth = 4, children length = 4
[I@09:08:14.488]: Position=6291459, 103ms spend for 7 Megabyte, stack depth = 4, children length = 2
[I@09:08:14.577]: Position=7340034, 89ms spend for 8 Megabyte, stack depth = 4, children length = 7
[I@09:08:14.671]: Position=8388609, 94ms spend for 9 Megabyte, stack depth = 4, children length = 0
[I@09:08:14.910]: Position=9437184, 238ms spend for 10 Megabyte, stack depth = 4, children length = 5
[I@09:08:15.045]: Position=10485773, 135ms spend for 11 Megabyte, stack depth = 7, children length = 1
[I@09:08:15.149]: Position=11534342, 104ms spend for 12 Megabyte, stack depth = 3, children length = 1
[I@09:08:15.246]: Position=12582913, 97ms spend for 13 Megabyte, stack depth = 4, children length = 3
[I@09:08:15.342]: Position=13631495, 96ms spend for 14 Megabyte, stack depth = 7, children length = 0
[I@09:08:15.590]: Position=14680079, 247ms spend for 15 Megabyte, stack depth = 7, children length = 1
[I@09:08:15.693]: Position=15728642, 103ms spend for 16 Megabyte, stack depth = 3, children length = 1
[I@09:08:15.809]: Position=16777216, 116ms spend for 17 Megabyte, stack depth = 4, children length = 6
[I@09:08:15.951]: Position=17825792, 142ms spend for 18 Megabyte, stack depth = 7, children length = 2
[I@09:08:16.142]: Position=18874383, 191ms spend for 19 Megabyte, stack depth = 7, children length = 1
[I@09:08:16.409]: Position=19922949, 265ms spend for 20 Megabyte, stack depth = 4, children length = 0
[I@09:08:16.526]: Position=20971537, 117ms spend for 21 Megabyte, stack depth = 7, children length = 0
[I@09:08:16.656]: Position=22020112, 130ms spend for 22 Megabyte, stack depth = 7, children length = 1
[I@09:08:16.784]: Position=23068684, 128ms spend for 23 Megabyte, stack depth = 7, children length = 0
[I@09:08:17.017]: Position=24117254, 233ms spend for 24 Megabyte, stack depth = 7, children length = 1
[I@09:08:17.121]: Position=25165829, 104ms spend for 25 Megabyte, stack depth = 7, children length = 1
[I@09:08:17.235]: Position=26214404, 113ms spend for 26 Megabyte, stack depth = 7, children length = 0
[I@09:08:17.542]: Position=27262997, 307ms spend for 27 Megabyte, stack depth = 7, children length = 0
[I@09:08:17.641]: Position=28311553, 99ms spend for 28 Megabyte, stack depth = 7, children length = 0
[I@09:08:17.737]: Position=29360141, 96ms spend for 29 Megabyte, stack depth = 7, children length = 0
[I@09:08:18.029]: Position=30408724, 291ms spend for 30 Megabyte, stack depth = 7, children length = 0
[I@09:08:18.129]: Position=31457282, 100ms spend for 31 Megabyte, stack depth = 4, children length = 0
[I@09:08:18.239]: Position=32505872, 110ms spend for 32 Megabyte, stack depth = 8, children length = 0
[I@09:08:18.583]: Position=33554449, 344ms spend for 33 Megabyte, stack depth = 7, children length = 1
[I@09:08:18.684]: Position=34603009, 101ms spend for 34 Megabyte, stack depth = 4, children length = 8
[I@09:08:19.010]: Position=35651601, 326ms spend for 35 Megabyte, stack depth = 7, children length = 1
[I@09:08:19.124]: Position=36700161, 113ms spend for 36 Megabyte, stack depth = 4, children length = 0
[I@09:08:19.508]: Position=37748737, 384ms spend for 37 Megabyte, stack depth = 4, children length = 1
[I@09:08:19.602]: Position=38797313, 94ms spend for 38 Megabyte, stack depth = 4, children length = 1
[I@09:08:23.184]: Position=39845891, 3581ms spend for 39 Megabyte, stack depth = 4, children length = 2
[I@09:08:23.288]: Position=40894465, 104ms spend for 40 Megabyte, stack depth = 4, children length = 4
[I@09:08:23.383]: Position=41943045, 95ms spend for 41 Megabyte, stack depth = 7, children length = 0
[I@09:08:23.513]: Position=42991628, 130ms spend for 42 Megabyte, stack depth = 7, children length = 1
[I@09:08:23.606]: Position=44040210, 93ms spend for 43 Megabyte, stack depth = 7, children length = 0
[I@09:08:23.783]: Position=45088769, 177ms spend for 44 Megabyte, stack depth = 4, children length = 1
[I@09:08:23.885]: Position=46137344, 102ms spend for 45 Megabyte, stack depth = 4, children length = 8
[I@09:08:24.166]: Position=47185930, 281ms spend for 46 Megabyte, stack depth = 7, children length = 0
[I@09:08:24.264]: Position=48234496, 96ms spend for 47 Megabyte, stack depth = 4, children length = 7
[I@09:08:24.368]: Position=49283072, 104ms spend for 48 Megabyte, stack depth = 3, children length = 3
[I@09:08:24.581]: Position=50331663, 213ms spend for 49 Megabyte, stack depth = 7, children length = 0
[I@09:08:24.683]: Position=51380224, 102ms spend for 50 Megabyte, stack depth = 4, children length = 5
[I@09:08:24.875]: Position=52428805, 192ms spend for 51 Megabyte, stack depth = 7, children length = 0
[I@09:08:24.995]: Position=53477384, 120ms spend for 52 Megabyte, stack depth = 3, children length = 1
[I@09:08:25.189]: Position=54525965, 194ms spend for 53 Megabyte, stack depth = 7, children length = 1
[I@09:08:25.280]: Position=55574531, 90ms spend for 54 Megabyte, stack depth = 7, children length = 0
[I@09:08:25.441]: Position=56623104, 161ms spend for 55 Megabyte, stack depth = 5, children length = 1
[I@09:08:25.537]: Position=57671696, 96ms spend for 56 Megabyte, stack depth = 7, children length = 0
[I@09:08:25.648]: Position=58720263, 110ms spend for 57 Megabyte, stack depth = 7, children length = 0
[I@09:08:25.836]: Position=59768842, 188ms spend for 58 Megabyte, stack depth = 7, children length = 0
[I@09:08:25.989]: Position=60817408, 153ms spend for 59 Megabyte, stack depth = 4, children length = 0
[I@09:08:26.200]: Position=61866005, 211ms spend for 60 Megabyte, stack depth = 7, children length = 0
[I@09:08:26.313]: Position=62914562, 113ms spend for 61 Megabyte, stack depth = 7, children length = 1
[I@09:08:26.489]: Position=63963139, 176ms spend for 62 Megabyte, stack depth = 7, children length = 1
[I@09:08:26.621]: Position=65011730, 132ms spend for 63 Megabyte, stack depth = 7, children length = 0
[I@09:08:26.844]: Position=66060289, 223ms spend for 64 Megabyte, stack depth = 7, children length = 2
[I@09:08:26.975]: Position=67108879, 131ms spend for 65 Megabyte, stack depth = 7, children length = 1
[I@09:08:27.186]: Position=68157444, 211ms spend for 66 Megabyte, stack depth = 7, children length = 0
[I@09:08:27.327]: Position=69206018, 140ms spend for 67 Megabyte, stack depth = 4, children length = 7
[I@09:08:33.378]: Position=70254594, 6051ms spend for 68 Megabyte, stack depth = 7, children length = 0
[I@09:08:33.532]: Position=71303168, 154ms spend for 69 Megabyte, stack depth = 4, children length = 2
[I@09:08:33.719]: Position=72351744, 187ms spend for 70 Megabyte, stack depth = 4, children length = 0
[I@09:08:33.833]: Position=73400325, 114ms spend for 71 Megabyte, stack depth = 4, children length = 1
[I@09:08:34.005]: Position=74448912, 171ms spend for 72 Megabyte, stack depth = 7, children length = 0
[I@09:08:34.129]: Position=75497474, 124ms spend for 73 Megabyte, stack depth = 7, children length = 1
[I@09:08:34.269]: Position=76546050, 140ms spend for 74 Megabyte, stack depth = 4, children length = 3
[I@09:08:34.501]: Position=77594629, 232ms spend for 75 Megabyte, stack depth = 7, children length = 1
[I@09:08:34.642]: Position=78643203, 140ms spend for 76 Megabyte, stack depth = 7, children length = 1
[I@09:08:34.922]: Position=79691795, 280ms spend for 77 Megabyte, stack depth = 7, children length = 0
[I@09:08:35.062]: Position=80740357, 140ms spend for 78 Megabyte, stack depth = 7, children length = 2
[I@09:08:35.207]: Position=81788929, 145ms spend for 79 Megabyte, stack depth = 6, children length = 592
[I@09:08:35.456]: Position=82837506, 249ms spend for 80 Megabyte, stack depth = 7, children length = 1
[I@09:08:35.585]: Position=83886080, 129ms spend for 81 Megabyte, stack depth = 7, children length = 2
[I@09:08:35.841]: Position=84934657, 256ms spend for 82 Megabyte, stack depth = 7, children length = 2
[I@09:08:35.970]: Position=85983250, 128ms spend for 83 Megabyte, stack depth = 7, children length = 0
[I@09:08:36.257]: Position=87031820, 287ms spend for 84 Megabyte, stack depth = 7, children length = 1
[I@09:08:36.388]: Position=88080385, 131ms spend for 85 Megabyte, stack depth = 7, children length = 0
[I@09:08:36.522]: Position=89128968, 134ms spend for 86 Megabyte, stack depth = 7, children length = 0
[I@09:08:36.820]: Position=90177550, 298ms spend for 87 Megabyte, stack depth = 7, children length = 1
[I@09:08:36.969]: Position=91226122, 149ms spend for 88 Megabyte, stack depth = 7, children length = 1
[I@09:08:37.288]: Position=92274692, 319ms spend for 89 Megabyte, stack depth = 7, children length = 1
[I@09:08:37.425]: Position=93323270, 137ms spend for 90 Megabyte, stack depth = 7, children length = 0
[I@09:08:37.833]: Position=94371846, 408ms spend for 91 Megabyte, stack depth = 7, children length = 1
[I@09:08:37.979]: Position=95420417, 146ms spend for 92 Megabyte, stack depth = 7, children length = 2
[I@09:08:44.301]: Position=96468992, 6321ms spend for 93 Megabyte, stack depth = 4, children length = 6
[I@09:08:44.468]: Position=97517569, 167ms spend for 94 Megabyte, stack depth = 7, children length = 2
[I@09:08:44.583]: Position=98566148, 115ms spend for 95 Megabyte, stack depth = 4, children length = 1
[I@09:08:50.311]: Position=99614721, 5728ms spend for 96 Megabyte, stack depth = 4, children length = 3
[I@09:08:50.405]: Position=100663298, 94ms spend for 97 Megabyte, stack depth = 7, children length = 0
[I@09:08:55.188]: Position=101711888, 4783ms spend for 98 Megabyte, stack depth = 7, children length = 1
[I@09:08:55.336]: Position=102760448, 148ms spend for 99 Megabyte, stack depth = 4, children length = 6
[I@09:09:00.614]: Position=103809024, 5278ms spend for 100 Megabyte, stack depth = 4, children length = 7
[I@09:09:00.898]: Position=104857600, 283ms spend for 101 Megabyte, stack depth = 4, children length = 0
[I@09:09:07.516]: Position=105906190, 6618ms spend for 102 Megabyte, stack depth = 7, children length = 0
[I@09:09:07.675]: Position=106954759, 158ms spend for 103 Megabyte, stack depth = 7, children length = 0
[I@09:09:15.500]: Position=108003331, 7823ms spend for 104 Megabyte, stack depth = 7, children length = 2
[I@09:09:26.506]: Position=109051904, 11006ms spend for 105 Megabyte, stack depth = 7, children length = 2
[I@09:09:31.829]: Position=110100482, 5323ms spend for 106 Megabyte, stack depth = 7, children length = 2
[I@09:09:31.944]: Position=111149061, 115ms spend for 107 Megabyte, stack depth = 7, children length = 0
[I@09:09:37.848]: Position=112197632, 5904ms spend for 108 Megabyte, stack depth = 4, children length = 1
[I@09:09:43.268]: Position=113246208, 5420ms spend for 109 Megabyte, stack depth = 4, children length = 2
[I@09:09:48.759]: Position=114294784, 5491ms spend for 110 Megabyte, stack depth = 6, children length = 9
[I@09:09:58.635]: Position=115343369, 9876ms spend for 111 Megabyte, stack depth = 8, children length = 0
[I@09:10:00.729]: Position=116391952, 2094ms spend for 112 Megabyte, stack depth = 8, children length = 1
[I@09:10:10.493]: Position=117440516, 9764ms spend for 113 Megabyte, stack depth = 7, children length = 1
[I@09:10:20.684]: Position=118489102, 10191ms spend for 114 Megabyte, stack depth = 7, children length = 1
[I@09:10:31.247]: Position=119537671, 10563ms spend for 115 Megabyte, stack depth = 7, children length = 1
[I@09:10:51.667]: Position=120586250, 20420ms spend for 116 Megabyte, stack depth = 7, children length = 0
[I@09:11:16.724]: Position=121634819, 25041ms spend for 117 Megabyte, stack depth = 7, children length = 0
[I@09:12:03.089]: Position=122683392, 46365ms spend for 118 Megabyte, stack depth = 7, children length = 1
[I@09:18:51.375]: Position=123731969, 408286ms spend for 119 Megabyte, stack depth = 7, children length = 0

Process finished with exit code 1
